,index,Coef_Ridge,Coef_Lasso,Coef_Elastic,FI_GBM,PI_XGB,Average,Avg_Abs
0,GrLivArea,0.37027311005561325,0.3746599053271462,0.36691175661260506,0.10933781215087314,0.10605652216520838,0.34435987013487507,0.34435987013487507
1,OverallQual,0.20684680853421838,0.25745551551258206,0.22179122784974334,0.14143132601877373,0.11814683973426329,0.29048958940279407,0.29048958940279407
2,NeighType_4,0.24180852068866643,0.2241331919934018,0.25081032947996745,0.028332939030429948,0.01608755561173165,0.22051669210781621,0.22051669210781621
3,YearBuilt,0.06830926502816943,0.1540348869442949,0.12130689889116932,0.05246691809126889,0.017681100608213395,0.16661251882866415,0.16661251882866415
4,Baths,0.04883308528242331,0.05861869632890275,0.06350098192955927,0.051363153661807444,0.03451231476633441,0.15391427659667475,0.15391427659667475
79,BsmtQual_Avg,-0.35977496855209895,-0.0,-0.006163124518015259,0.01594773678868262,0.0004071878673421292,-0.14495260235750426,0.14495260235750426
5,GarageArea,0.15451839059657832,0.088201774204075,0.0845089869033799,0.057855976898314856,0.018235458422482198,0.14290832638064768,0.14290832638064768
6,YearRemodAdd,0.06873434186863316,0.07098770525349271,0.05229855738372596,0.029363423083560634,0.018171056817208965,0.1329799461751273,0.1329799461751273
78,NeighType_1,-0.19360501053875692,-0.04430132035750388,-0.13380079634869702,0.01377313860695425,0.0012185966896005596,-0.1327750970205998,0.1327750970205998
7,Fireplaces,0.05941054880219595,0.07144286343400884,0.06466856118041704,0.04409617488758067,0.014699143449749763,0.12383515995070386,0.12383515995070386
8,TotalBsmtSF,0.10788364510711926,0.059006037154135556,0.0545043072596516,0.0747303628499177,0.04240701133408962,0.1221369657803766,0.1221369657803766
9,Foundation_PConc,0.06452954015116641,0.04547038842142657,0.07965538035674288,0.009790082214266287,0.0001225879665763152,0.12183300869309253,0.12183300869309253
10,KitchenQual_Gd,0.011622029153153683,0.0,0.00943744676483347,0.028539137181746093,5.57509200270756e-05,0.10950741806690772,0.10950741806690772
77,Exterior_BrkComm,-0.5442719703440959,-0.0,-0.0,0.0014996431618316422,0.002855338540925323,-0.10406954066081996,0.10406954066081996
11,TotRmsAbvGrd,0.014977820722511857,0.0,0.017873036814810412,0.036359163038348935,0.0011894081069168116,0.10327914278116891,0.10327914278116891
76,ExterQual_Avg,-0.020429243359800172,-0.0,-0.0,0.031177426111679608,0.0031710963652978874,-0.09905475257266146,0.09905475257266146
12,BsmtFinSF,0.20251136146598597,0.07333951966959167,0.07607569395977358,0.02696769019161836,0.017476827158031984,0.09864847068145667,0.09864847068145667
13,CentralAir_Yes,0.13922794383469927,0.0,0.09391786659144943,0.008319356083138234,0.0025977427610948344,0.09560299535957288,0.09560299535957288
75,KitchenQual_Avg,-0.011622029153157154,-0.0,-0.0098212692336123,0.0496367190958583,0.013888367483074825,-0.09421805936492038,0.09421805936492038
74,NeighType_2,-0.15235474105036537,-0.0,-0.08586849464082051,0.002076855170395451,0.0013351468712167857,-0.09342985970899496,0.09342985970899496
14,BsmtExposure_Yes,0.07927673810846197,0.05804764115208857,0.0768488221881175,0.005018768526917865,0.0018877644646277947,0.08958741108645067,0.08958741108645067
73,MSZoning_Oth,-0.0638625887524377,-0.09728651254142476,-0.06291550189830407,0.003496970517012396,0.004544318398668934,-0.08312868011952289,0.08312868011952289
15,LotFrontage,0.025217521673927937,0.04973357454879423,0.03566190082224415,0.015591942946159624,0.007980038833170666,0.08247015921394489,0.08247015921394489
16,ExterQual_Ex,0.07359075100726298,0.0,0.04909345544947344,0.0043512802647460835,0.0004594750460374053,0.08138619931109609,0.08138619931109609
17,MasVnrArea,0.008635439803859835,0.006015642148903341,0.015662888834063436,0.00751054450392608,0.003403547943560792,0.07855453451873932,0.07855453451873932
18,WoodDeckSF,0.02659647025172288,0.029754890230574385,0.02945380191847744,0.0054778716086806845,0.0037199174076546493,0.07138416313139072,0.07138416313139072
72,RoadRail_Yes,-0.13869567346487008,-0.05427250024687094,-0.1129908978584132,0.0013559736325546006,0.0013643046925425838,-0.07087063044061394,0.07087063044061394
19,ExterQual_Gd,-0.053161507647270206,-0.0,-0.011639063635514695,0.008874314715612041,6.681684837135382e-05,0.07068213897620872,0.07068213897620872
20,BsmtFinType1_GLQ,-0.02610747552807298,0.0,0.0,0.006674537883061792,0.00015536270823961472,0.06991006954474842,0.06991006954474842
21,Exterior_VinylSd,0.09213419191797398,0.0,0.0,0.00045206255492193814,0.0010419440050117412,0.06963275273965035,0.06963275273965035
71,HeatingQC_Avg,-0.013500145421508932,-0.01501193265714524,-0.013909863555086619,0.0006569372858040606,0.001860280088494881,-0.06958184952694163,0.06958184952694163
22,MSZoning_RL,0.06386258875249408,0.0,0.0625639119228862,0.003360448210262892,0.0001541868567291438,0.06878165036383742,0.06878165036383742
23,HeatingQC_Gd,0.013500145421507154,0.0,0.013440468295378632,0.0009543916549720345,0.00021669365044414414,0.06761634532075166,0.06761634532075166
24,OpenPorchSF,0.010677961754231217,0.003127547949890192,0.012144559527027072,0.0091436398949588,0.00354265327065697,0.06427760045656276,0.06427760045656276
70,GarageType_Oth,-0.10517403082572215,-0.0,-0.0012135746902021255,0.0011162235818517141,0.0009300852393478332,-0.06145437930480304,0.06145437930480304
25,LotShape_IR2,0.16430293616912417,0.0,0.06580045349530232,0.0008129462502287491,0.0006388198650307375,0.06071585463887269,0.06071585463887269
69,Foundation_CBlock,-0.0226400639990057,-0.0,-0.0,0.0005943857952588684,0.0004041095139437845,-0.0596835019072685,0.0596835019072685
